# Trace from filein = ./62270a01                                                                                                                   
#   time        NI0                                                                                                                          
   2.6950E+00   5.3682E+01
   2.6965E+00   5.3527E+01
   2.6992E+00   5.3253E+01
   2.7038E+00   5.2826E+01
   2.7113E+00   5.2248E+01
   2.7113E+00   5.2247E+01
   2.7113E+00   5.2247E+01
   2.7113E+00   5.2247E+01
   2.7113E+00   5.2247E+01
   2.7113E+00   5.2247E+01
   2.7113E+00   5.2247E+01
   2.7113E+00   5.2247E+01
   2.7113E+00   5.2248E+01
   2.7113E+00   5.2248E+01
   2.7113E+00   5.2248E+01
   2.7113E+00   5.2248E+01
   2.7113E+00   5.2249E+01
   2.7113E+00   5.2249E+01
   2.7113E+00   5.2250E+01
   2.7113E+00   5.2250E+01
   2.7113E+00   5.2251E+01
   2.7113E+00   5.2251E+01
   2.7113E+00   5.2251E+01
   2.7114E+00   5.2249E+01
   2.7114E+00   5.2248E+01
   2.7114E+00   5.2246E+01
   2.7114E+00   5.2243E+01
   2.7115E+00   5.2241E+01
   2.7115E+00   5.2238E+01
   2.7115E+00   5.2235E+01
   2.7115E+00   5.2232E+01
   2.7116E+00   5.2228E+01
   2.7116E+00   5.2223E+01
   2.7116E+00   5.2221E+01
   2.7116E+00   5.2220E+01
   2.7116E+00   5.2219E+01
   2.7117E+00   5.2218E+01
   2.7117E+00   5.2216E+01
   2.7117E+00   5.2213E+01
   2.7117E+00   5.2212E+01
   2.7117E+00   5.2210E+01
   2.7118E+00   5.2208E+01
   2.7118E+00   5.2205E+01
   2.7118E+00   5.2201E+01
   2.7119E+00   5.2195E+01
   2.7120E+00   5.2187E+01
   2.7121E+00   5.2177E+01
   2.7122E+00   5.2169E+01
   2.7123E+00   5.2157E+01
   2.7124E+00   5.2149E+01
   2.7125E+00   5.2140E+01
   2.7126E+00   5.2127E+01
   2.7129E+00   5.2104E+01
   2.7133E+00   5.2065E+01
   2.7140E+00   5.2002E+01
   2.7153E+00   5.1899E+01
   2.7176E+00   5.1742E+01
   2.7190E+00   5.1637E+01
   2.7208E+00   5.1512E+01
   2.7234E+00   5.1357E+01
   2.7274E+00   5.1157E+01
   2.7343E+00   5.0904E+01
   2.7343E+00   5.0904E+01
   2.7343E+00   5.0904E+01
   2.7343E+00   5.0904E+01
   2.7343E+00   5.0904E+01
   2.7343E+00   5.0904E+01
   2.7343E+00   5.0904E+01
   2.7343E+00   5.0904E+01
   2.7343E+00   5.0904E+01
   2.7343E+00   5.0904E+01
   2.7343E+00   5.0904E+01
   2.7343E+00   5.0904E+01
   2.7343E+00   5.0904E+01
   2.7343E+00   5.0904E+01
   2.7343E+00   5.0903E+01
   2.7343E+00   5.0903E+01
   2.7343E+00   5.0903E+01
   2.7343E+00   5.0902E+01
   2.7343E+00   5.0901E+01
   2.7343E+00   5.0900E+01
   2.7343E+00   5.0899E+01
   2.7343E+00   5.0898E+01
   2.7343E+00   5.0897E+01
   2.7344E+00   5.0895E+01
   2.7344E+00   5.0893E+01
   2.7344E+00   5.0892E+01
   2.7344E+00   5.0892E+01
   2.7344E+00   5.0892E+01
   2.7344E+00   5.0891E+01
   2.7344E+00   5.0890E+01
   2.7345E+00   5.0887E+01
   2.7345E+00   5.0884E+01
   2.7346E+00   5.0877E+01
   2.7347E+00   5.0866E+01
   2.7349E+00   5.0849E+01
   2.7352E+00   5.0825E+01
   2.7356E+00   5.0787E+01
   2.7364E+00   5.0727E+01
   2.7364E+00   5.0725E+01
   2.7364E+00   5.0724E+01
   2.7364E+00   5.0724E+01
   2.7364E+00   5.0724E+01
   2.7364E+00   5.0725E+01
   2.7364E+00   5.0725E+01
   2.7364E+00   5.0724E+01
   2.7364E+00   5.0723E+01
   2.7365E+00   5.0721E+01
   2.7365E+00   5.0719E+01
   2.7366E+00   5.0716E+01
   2.7368E+00   5.0710E+01
   2.7371E+00   5.0699E+01
   2.7376E+00   5.0677E+01
   2.7384E+00   5.0642E+01
   2.7384E+00   5.0641E+01
   2.7384E+00   5.0640E+01
   2.7384E+00   5.0640E+01
   2.7384E+00   5.0640E+01
   2.7384E+00   5.0640E+01
