# Trace from filein = ./62270a01                                                                                                                   
#   time        TI0                                                                                                                          
   2.7343E+00   1.6892E+00
   2.7343E+00   1.6892E+00
   2.7343E+00   1.6892E+00
   2.7343E+00   1.6892E+00
   2.7343E+00   1.6892E+00
   2.7343E+00   1.6893E+00
   2.7343E+00   1.6893E+00
   2.7343E+00   1.6893E+00
   2.7343E+00   1.6893E+00
   2.7343E+00   1.6893E+00
   2.7343E+00   1.6893E+00
   2.7343E+00   1.6893E+00
   2.7344E+00   1.6893E+00
   2.7344E+00   1.6894E+00
   2.7344E+00   1.6894E+00
   2.7344E+00   1.6894E+00
   2.7344E+00   1.6894E+00
   2.7344E+00   1.6894E+00
   2.7344E+00   1.6894E+00
   2.7345E+00   1.6894E+00
   2.7345E+00   1.6895E+00
   2.7346E+00   1.6896E+00
   2.7347E+00   1.6897E+00
   2.7349E+00   1.6899E+00
   2.7352E+00   1.6902E+00
   2.7356E+00   1.6905E+00
   2.7364E+00   1.6911E+00
   2.7364E+00   1.6911E+00
   2.7364E+00   1.6911E+00
   2.7364E+00   1.6911E+00
   2.7364E+00   1.6911E+00
   2.7364E+00   1.6911E+00
   2.7364E+00   1.6911E+00
   2.7364E+00   1.6911E+00
   2.7364E+00   1.6912E+00
   2.7365E+00   1.6912E+00
   2.7365E+00   1.6913E+00
   2.7366E+00   1.6915E+00
   2.7368E+00   1.6918E+00
   2.7371E+00   1.6923E+00
   2.7376E+00   1.6931E+00
   2.7384E+00   1.6945E+00
   2.7384E+00   1.6946E+00
   2.7384E+00   1.6946E+00
   2.7384E+00   1.6946E+00
   2.7384E+00   1.6946E+00
   2.7384E+00   1.6946E+00
