# Trace from filein = ./62270a01                                                                                                                   
#   time        TE0                                                                                                                          
   2.6834E+00   1.7235E+00
   2.6835E+00   1.7235E+00
   2.6835E+00   1.7235E+00
   2.6835E+00   1.7235E+00
   2.6835E+00   1.7236E+00
   2.6836E+00   1.7236E+00
   2.6836E+00   1.7237E+00
   2.6837E+00   1.7237E+00
   2.6837E+00   1.7238E+00
   2.6838E+00   1.7240E+00
   2.6839E+00   1.7242E+00
   2.6841E+00   1.7245E+00
   2.6844E+00   1.7252E+00
   2.6848E+00   1.7263E+00
   2.6853E+00   1.7281E+00
   2.6858E+00   1.7302E+00
   2.6867E+00   1.7337E+00
   2.6880E+00   1.7403E+00
   2.6880E+00   1.7404E+00
   2.6880E+00   1.7403E+00
   2.6880E+00   1.7402E+00
   2.6881E+00   1.7402E+00
   2.6881E+00   1.7402E+00
   2.6881E+00   1.7402E+00
   2.6881E+00   1.7402E+00
   2.6881E+00   1.7402E+00
   2.6881E+00   1.7402E+00
   2.6881E+00   1.7402E+00
   2.6881E+00   1.7402E+00
   2.6881E+00   1.7403E+00
   2.6881E+00   1.7403E+00
   2.6881E+00   1.7403E+00
   2.6881E+00   1.7403E+00
   2.6881E+00   1.7403E+00
   2.6881E+00   1.7403E+00
   2.6881E+00   1.7403E+00
   2.6881E+00   1.7403E+00
   2.6881E+00   1.7403E+00
   2.6881E+00   1.7404E+00
   2.6881E+00   1.7404E+00
   2.6881E+00   1.7404E+00
   2.6881E+00   1.7404E+00
   2.6881E+00   1.7404E+00
   2.6881E+00   1.7404E+00
   2.6881E+00   1.7404E+00
   2.6881E+00   1.7405E+00
   2.6881E+00   1.7405E+00
   2.6881E+00   1.7406E+00
   2.6881E+00   1.7407E+00
   2.6882E+00   1.7408E+00
   2.6882E+00   1.7410E+00
   2.6882E+00   1.7410E+00
   2.6882E+00   1.7411E+00
   2.6883E+00   1.7411E+00
   2.6883E+00   1.7411E+00
   2.6883E+00   1.7412E+00
   2.6883E+00   1.7412E+00
   2.6883E+00   1.7414E+00
   2.6884E+00   1.7415E+00
   2.6884E+00   1.7417E+00
   2.6885E+00   1.7420E+00
   2.6886E+00   1.7425E+00
   2.6887E+00   1.7431E+00
   2.6888E+00   1.7435E+00
   2.6889E+00   1.7439E+00
   2.6890E+00   1.7445E+00
   2.6892E+00   1.7454E+00
   2.6895E+00   1.7467E+00
   2.6898E+00   1.7486E+00
   2.6903E+00   1.7509E+00
   2.6909E+00   1.7539E+00
   2.6916E+00   1.7573E+00
   2.6916E+00   1.7574E+00
   2.6916E+00   1.7576E+00
   2.6916E+00   1.7576E+00
   2.6916E+00   1.7577E+00
   2.6916E+00   1.7577E+00
   2.6916E+00   1.7577E+00
   2.6916E+00   1.7577E+00
   2.6916E+00   1.7578E+00
   2.6916E+00   1.7578E+00
   2.6917E+00   1.7578E+00
   2.6917E+00   1.7578E+00
   2.6917E+00   1.7578E+00
   2.6917E+00   1.7579E+00
   2.6917E+00   1.7579E+00
   2.6917E+00   1.7579E+00
   2.6917E+00   1.7579E+00
   2.6917E+00   1.7579E+00
   2.6917E+00   1.7579E+00
   2.6917E+00   1.7579E+00
   2.6917E+00   1.7579E+00
   2.6917E+00   1.7580E+00
   2.6917E+00   1.7580E+00
   2.6917E+00   1.7580E+00
   2.6917E+00   1.7580E+00
   2.6917E+00   1.7581E+00
   2.6917E+00   1.7582E+00
   2.6918E+00   1.7584E+00
   2.6918E+00   1.7587E+00
   2.6919E+00   1.7593E+00
   2.6921E+00   1.7600E+00
   2.6923E+00   1.7611E+00
   2.6923E+00   1.7612E+00
   2.6923E+00   1.7612E+00
   2.6924E+00   1.7613E+00
   2.6924E+00   1.7613E+00
   2.6924E+00   1.7614E+00
   2.6925E+00   1.7616E+00
   2.6925E+00   1.7620E+00
   2.6927E+00   1.7628E+00
   2.6929E+00   1.7640E+00
   2.6930E+00   1.7642E+00
   2.6930E+00   1.7644E+00
   2.6931E+00   1.7647E+00
   2.6932E+00   1.7652E+00
   2.6933E+00   1.7660E+00
   2.6936E+00   1.7676E+00
   2.6941E+00   1.7703E+00
   2.6950E+00   1.7750E+00
   2.6965E+00   1.7828E+00
   2.6992E+00   1.7949E+00
   2.7038E+00   1.8122E+00
   2.7113E+00   1.8326E+00
   2.7113E+00   1.8327E+00
   2.7113E+00   1.8327E+00
   2.7113E+00   1.8327E+00
   2.7113E+00   1.8327E+00
   2.7113E+00   1.8327E+00
   2.7113E+00   1.8327E+00
   2.7113E+00   1.8327E+00
   2.7113E+00   1.8327E+00
   2.7113E+00   1.8326E+00
   2.7113E+00   1.8326E+00
   2.7113E+00   1.8326E+00
   2.7113E+00   1.8326E+00
   2.7113E+00   1.8326E+00
   2.7113E+00   1.8326E+00
   2.7113E+00   1.8326E+00
   2.7113E+00   1.8326E+00
   2.7113E+00   1.8326E+00
   2.7113E+00   1.8326E+00
   2.7114E+00   1.8327E+00
   2.7114E+00   1.8327E+00
   2.7114E+00   1.8328E+00
   2.7114E+00   1.8329E+00
   2.7115E+00   1.8330E+00
   2.7115E+00   1.8331E+00
   2.7115E+00   1.8333E+00
   2.7115E+00   1.8334E+00
   2.7116E+00   1.8336E+00
   2.7116E+00   1.8338E+00
   2.7116E+00   1.8339E+00
   2.7116E+00   1.8339E+00
   2.7116E+00   1.8340E+00
   2.7117E+00   1.8340E+00
   2.7117E+00   1.8341E+00
   2.7117E+00   1.8342E+00
   2.7117E+00   1.8343E+00
   2.7117E+00   1.8343E+00
   2.7118E+00   1.8345E+00
   2.7118E+00   1.8346E+00
   2.7118E+00   1.8348E+00
   2.7119E+00   1.8350E+00
   2.7120E+00   1.8354E+00
   2.7121E+00   1.8358E+00
   2.7122E+00   1.8361E+00
   2.7123E+00   1.8367E+00
   2.7124E+00   1.8370E+00
   2.7125E+00   1.8374E+00
   2.7126E+00   1.8380E+00
   2.7129E+00   1.8390E+00
   2.7133E+00   1.8406E+00
   2.7140E+00   1.8432E+00
   2.7153E+00   1.8473E+00
   2.7176E+00   1.8532E+00
   2.7190E+00   1.8571E+00
   2.7208E+00   1.8615E+00
   2.7234E+00   1.8666E+00
   2.7274E+00   1.8724E+00
   2.7343E+00   1.8777E+00
   2.7343E+00   1.8777E+00
   2.7343E+00   1.8777E+00
   2.7343E+00   1.8777E+00
   2.7343E+00   1.8777E+00
   2.7343E+00   1.8777E+00
   2.7343E+00   1.8777E+00
   2.7343E+00   1.8777E+00
   2.7343E+00   1.8777E+00
   2.7343E+00   1.8777E+00
   2.7343E+00   1.8777E+00
   2.7343E+00   1.8777E+00
   2.7343E+00   1.8777E+00
   2.7343E+00   1.8777E+00
   2.7343E+00   1.8777E+00
   2.7343E+00   1.8777E+00
   2.7343E+00   1.8777E+00
   2.7343E+00   1.8778E+00
   2.7343E+00   1.8778E+00
   2.7343E+00   1.8778E+00
