# Trace from filein = ./62270a01                                                                                                                   
#   time        NE0                                                                                                                          
   2.6858E+00   5.4583E+01
   2.6867E+00   5.4543E+01
   2.6880E+00   5.4455E+01
   2.6880E+00   5.4454E+01
   2.6880E+00   5.4456E+01
   2.6880E+00   5.4460E+01
   2.6881E+00   5.4460E+01
   2.6881E+00   5.4460E+01
   2.6881E+00   5.4460E+01
   2.6881E+00   5.4460E+01
   2.6881E+00   5.4460E+01
   2.6881E+00   5.4460E+01
   2.6881E+00   5.4460E+01
   2.6881E+00   5.4460E+01
   2.6881E+00   5.4460E+01
   2.6881E+00   5.4460E+01
   2.6881E+00   5.4460E+01
   2.6881E+00   5.4460E+01
   2.6881E+00   5.4460E+01
   2.6881E+00   5.4459E+01
   2.6881E+00   5.4459E+01
   2.6881E+00   5.4459E+01
   2.6881E+00   5.4458E+01
   2.6881E+00   5.4458E+01
   2.6881E+00   5.4458E+01
   2.6881E+00   5.4458E+01
   2.6881E+00   5.4458E+01
   2.6881E+00   5.4458E+01
   2.6881E+00   5.4457E+01
   2.6881E+00   5.4457E+01
   2.6881E+00   5.4457E+01
   2.6881E+00   5.4456E+01
   2.6881E+00   5.4455E+01
   2.6881E+00   5.4454E+01
   2.6882E+00   5.4452E+01
   2.6882E+00   5.4450E+01
   2.6882E+00   5.4450E+01
   2.6882E+00   5.4449E+01
   2.6883E+00   5.4449E+01
   2.6883E+00   5.4449E+01
   2.6883E+00   5.4448E+01
   2.6883E+00   5.4447E+01
   2.6883E+00   5.4446E+01
   2.6884E+00   5.4444E+01
   2.6884E+00   5.4441E+01
   2.6885E+00   5.4437E+01
   2.6886E+00   5.4430E+01
   2.6887E+00   5.4421E+01
   2.6888E+00   5.4415E+01
   2.6889E+00   5.4409E+01
   2.6890E+00   5.4400E+01
   2.6892E+00   5.4386E+01
   2.6895E+00   5.4365E+01
   2.6898E+00   5.4336E+01
   2.6903E+00   5.4299E+01
   2.6909E+00   5.4249E+01
   2.6916E+00   5.4190E+01
   2.6916E+00   5.4188E+01
   2.6916E+00   5.4187E+01
   2.6916E+00   5.4186E+01
   2.6916E+00   5.4185E+01
   2.6916E+00   5.4184E+01
   2.6916E+00   5.4184E+01
   2.6916E+00   5.4184E+01
   2.6916E+00   5.4184E+01
   2.6916E+00   5.4184E+01
   2.6917E+00   5.4184E+01
   2.6917E+00   5.4183E+01
   2.6917E+00   5.4183E+01
   2.6917E+00   5.4183E+01
   2.6917E+00   5.4183E+01
   2.6917E+00   5.4182E+01
   2.6917E+00   5.4182E+01
   2.6917E+00   5.4182E+01
   2.6917E+00   5.4182E+01
   2.6917E+00   5.4181E+01
   2.6917E+00   5.4181E+01
   2.6917E+00   5.4181E+01
   2.6917E+00   5.4180E+01
   2.6917E+00   5.4180E+01
   2.6917E+00   5.4179E+01
   2.6917E+00   5.4178E+01
   2.6917E+00   5.4176E+01
   2.6918E+00   5.4173E+01
   2.6918E+00   5.4167E+01
   2.6919E+00   5.4158E+01
   2.6921E+00   5.4146E+01
   2.6923E+00   5.4127E+01
   2.6923E+00   5.4126E+01
   2.6923E+00   5.4126E+01
   2.6924E+00   5.4125E+01
   2.6924E+00   5.4124E+01
   2.6924E+00   5.4123E+01
   2.6925E+00   5.4119E+01
   2.6925E+00   5.4113E+01
   2.6927E+00   5.4101E+01
   2.6929E+00   5.4080E+01
   2.6930E+00   5.4076E+01
   2.6930E+00   5.4073E+01
   2.6931E+00   5.4068E+01
   2.6932E+00   5.4059E+01
   2.6933E+00   5.4045E+01
   2.6936E+00   5.4017E+01
   2.6941E+00   5.3968E+01
   2.6950E+00   5.3878E+01
   2.6965E+00   5.3718E+01
   2.6992E+00   5.3437E+01
   2.7038E+00   5.3000E+01
   2.7113E+00   5.2411E+01
   2.7113E+00   5.2410E+01
   2.7113E+00   5.2410E+01
   2.7113E+00   5.2410E+01
   2.7113E+00   5.2410E+01
   2.7113E+00   5.2410E+01
   2.7113E+00   5.2410E+01
   2.7113E+00   5.2410E+01
   2.7113E+00   5.2410E+01
