# Trace from filein = ./62270n01                                                                                                                   
#   time        TI0                                                                                                                          
   2.4269E+00   1.4703E+00
   2.4274E+00   1.4715E+00
   2.4278E+00   1.4724E+00
   2.4282E+00   1.4730E+00
   2.4287E+00   1.4743E+00
   2.4292E+00   1.4754E+00
   2.4299E+00   1.4774E+00
   2.4299E+00   1.4774E+00
   2.4299E+00   1.4774E+00
   2.4299E+00   1.4774E+00
   2.4299E+00   1.4774E+00
   2.4299E+00   1.4774E+00
   2.4299E+00   1.4774E+00
   2.4299E+00   1.4775E+00
   2.4299E+00   1.4775E+00
   2.4300E+00   1.4775E+00
   2.4300E+00   1.4776E+00
   2.4301E+00   1.4778E+00
   2.4302E+00   1.4781E+00
   2.4304E+00   1.4787E+00
   2.4308E+00   1.4798E+00
   2.4315E+00   1.4818E+00
   2.4315E+00   1.4818E+00
   2.4315E+00   1.4819E+00
   2.4315E+00   1.4819E+00
   2.4315E+00   1.4819E+00
   2.4315E+00   1.4819E+00
   2.4315E+00   1.4819E+00
   2.4315E+00   1.4819E+00
   2.4315E+00   1.4819E+00
   2.4316E+00   1.4820E+00
   2.4316E+00   1.4821E+00
   2.4317E+00   1.4823E+00
   2.4318E+00   1.4827E+00
   2.4320E+00   1.4833E+00
   2.4324E+00   1.4843E+00
   2.4326E+00   1.4849E+00
   2.4330E+00   1.4861E+00
   2.4333E+00   1.4868E+00
   2.4338E+00   1.4881E+00
   2.4341E+00   1.4889E+00
   2.4346E+00   1.4904E+00
   2.4349E+00   1.4913E+00
   2.4352E+00   1.4919E+00
   2.4355E+00   1.4929E+00
   2.4358E+00   1.4935E+00
   2.4362E+00   1.4946E+00
   2.4365E+00   1.4953E+00
   2.4369E+00   1.4965E+00
   2.4377E+00   1.4993E+00
   2.4377E+00   1.4993E+00
   2.4377E+00   1.4993E+00
   2.4377E+00   1.4993E+00
   2.4377E+00   1.4993E+00
   2.4377E+00   1.4993E+00
   2.4377E+00   1.4994E+00
   2.4378E+00   1.4994E+00
   2.4378E+00   1.4994E+00
   2.4378E+00   1.4995E+00
   2.4379E+00   1.4997E+00
   2.4380E+00   1.5000E+00
   2.4381E+00   1.5006E+00
   2.4384E+00   1.5017E+00
   2.4390E+00   1.5035E+00
   2.4399E+00   1.5063E+00
   2.4410E+00   1.5094E+00
   2.4429E+00   1.5138E+00
   2.4462E+00   1.5199E+00
   2.4510E+00   1.5272E+00
   2.4585E+00   1.5349E+00
   2.4660E+00   1.4434E+00
   2.4701E+00   1.4418E+00
   2.4701E+00   1.4416E+00
   2.4701E+00   1.4416E+00
   2.4701E+00   1.4416E+00
   2.4701E+00   1.4416E+00
   2.4701E+00   1.4416E+00
   2.4701E+00   1.4416E+00
   2.4701E+00   1.4416E+00
   2.4701E+00   1.4416E+00
   2.4701E+00   1.4416E+00
   2.4701E+00   1.4417E+00
   2.4701E+00   1.4417E+00
   2.4701E+00   1.4417E+00
