# Trace from filein = ./62270n01                                                                                                                   
#   time        POHT                                                                                                                         
   2.4701E+00   1.9547E-01
   2.4701E+00   1.9551E-01
   2.4701E+00   1.9558E-01
   2.4701E+00   1.9569E-01
   2.4701E+00   1.9590E-01
   2.4701E+00   1.9623E-01
   2.4701E+00   1.9668E-01
   2.4702E+00   1.9726E-01
   2.4702E+00   1.9786E-01
   2.4702E+00   1.9837E-01
   2.4703E+00   1.9867E-01
   2.4703E+00   1.9864E-01
   2.4703E+00   1.9858E-01
   2.4703E+00   1.9853E-01
   2.4704E+00   1.9847E-01
   2.4704E+00   1.9840E-01
   2.4704E+00   1.9834E-01
   2.4704E+00   1.9827E-01
   2.4704E+00   1.9819E-01
   2.4705E+00   1.9816E-01
   2.4705E+00   1.9808E-01
   2.4705E+00   1.9807E-01
   2.4705E+00   1.9806E-01
   2.4705E+00   1.9806E-01
   2.4705E+00   1.9805E-01
   2.4705E+00   1.9805E-01
   2.4705E+00   1.9805E-01
   2.4705E+00   1.9805E-01
   2.4705E+00   1.9804E-01
   2.4705E+00   1.9804E-01
   2.4706E+00   1.9804E-01
   2.4706E+00   1.9804E-01
   2.4706E+00   1.9804E-01
   2.4706E+00   1.9804E-01
   2.4707E+00   1.9804E-01
   2.4707E+00   1.9804E-01
   2.4708E+00   1.9805E-01
   2.4708E+00   1.9802E-01
   2.4708E+00   1.9800E-01
   2.4708E+00   1.9799E-01
   2.4709E+00   1.9799E-01
   2.4709E+00   1.9799E-01
   2.4709E+00   1.9798E-01
   2.4709E+00   1.9798E-01
   2.4709E+00   1.9798E-01
   2.4709E+00   1.9798E-01
   2.4709E+00   1.9797E-01
   2.4709E+00   1.9797E-01
   2.4709E+00   1.9797E-01
   2.4709E+00   1.9797E-01
   2.4709E+00   1.9797E-01
   2.4709E+00   1.9796E-01
   2.4710E+00   1.9796E-01
   2.4710E+00   1.9796E-01
   2.4710E+00   1.9795E-01
   2.4711E+00   1.9793E-01
   2.4711E+00   1.9793E-01
   2.4712E+00   1.9791E-01
   2.4713E+00   1.9789E-01
   2.4713E+00   1.9787E-01
   2.4713E+00   1.9786E-01
   2.4714E+00   1.9784E-01
   2.4714E+00   1.9782E-01
   2.4715E+00   1.9780E-01
   2.4716E+00   1.9778E-01
   2.4717E+00   1.9775E-01
   2.4720E+00   1.9771E-01
   2.4724E+00   1.9765E-01
   2.4732E+00   1.9767E-01
   2.4732E+00   1.9764E-01
   2.4732E+00   1.9764E-01
   2.4732E+00   1.9764E-01
   2.4732E+00   1.9764E-01
   2.4732E+00   1.9763E-01
   2.4732E+00   1.9763E-01
   2.4732E+00   1.9762E-01
   2.4732E+00   1.9760E-01
   2.4732E+00   1.9757E-01
   2.4733E+00   1.9752E-01
   2.4734E+00   1.9743E-01
   2.4735E+00   1.9734E-01
   2.4737E+00   1.9726E-01
   2.4741E+00   1.9721E-01
   2.4748E+00   1.9716E-01
   2.4748E+00   1.9716E-01
   2.4748E+00   1.9716E-01
   2.4748E+00   1.9715E-01
   2.4748E+00   1.9715E-01
   2.4748E+00   1.9715E-01
   2.4748E+00   1.9714E-01
   2.4748E+00   1.9712E-01
   2.4748E+00   1.9710E-01
   2.4748E+00   1.9706E-01
   2.4749E+00   1.9702E-01
   2.4750E+00   1.9700E-01
   2.4752E+00   1.9698E-01
   2.4756E+00   1.9698E-01
   2.4759E+00   1.9698E-01
   2.4763E+00   1.9696E-01
   2.4767E+00   1.9694E-01
   2.4771E+00   1.9692E-01
   2.4776E+00   1.9688E-01
   2.4787E+00   1.9681E-01
   2.4787E+00   1.9676E-01
   2.4787E+00   1.9676E-01
   2.4787E+00   1.9675E-01
   2.4787E+00   1.9675E-01
   2.4787E+00   1.9675E-01
   2.4787E+00   1.9675E-01
   2.4787E+00   1.9674E-01
   2.4787E+00   1.9673E-01
   2.4787E+00   1.9671E-01
   2.4787E+00   1.9668E-01
   2.4788E+00   1.9664E-01
   2.4789E+00   1.9659E-01
   2.4790E+00   1.9656E-01
   2.4793E+00   1.9653E-01
   2.4797E+00   1.9651E-01
   2.4804E+00   1.9647E-01
   2.4804E+00   1.9645E-01
   2.4804E+00   1.9645E-01
   2.4804E+00   1.9645E-01
   2.4804E+00   1.9645E-01
   2.4804E+00   1.9645E-01
   2.4804E+00   1.9644E-01
   2.4805E+00   1.9643E-01
   2.4805E+00   1.9641E-01
   2.4805E+00   1.9638E-01
   2.4805E+00   1.9634E-01
   2.4806E+00   1.9630E-01
   2.4808E+00   1.9626E-01
   2.4810E+00   1.9623E-01
   2.4814E+00   1.9622E-01
   2.4817E+00   1.9629E-01
   2.4823E+00   1.9629E-01
   2.4832E+00   1.9622E-01
   2.4832E+00   1.9615E-01
   2.4832E+00   1.9615E-01
   2.4833E+00   1.9615E-01
   2.4833E+00   1.9615E-01
   2.4833E+00   1.9614E-01
   2.4833E+00   1.9614E-01
   2.4833E+00   1.9612E-01
   2.4833E+00   1.9610E-01
   2.4833E+00   1.9606E-01
   2.4834E+00   1.9603E-01
   2.4835E+00   1.9600E-01
   2.4837E+00   1.9598E-01
   2.4840E+00   1.9597E-01
   2.4846E+00   1.9595E-01
   2.4851E+00   1.9594E-01
   2.4855E+00   1.9592E-01
   2.4859E+00   1.9590E-01
   2.4865E+00   1.9588E-01
   2.4865E+00   1.9589E-01
   2.4865E+00   1.9589E-01
   2.4865E+00   1.9589E-01
   2.4865E+00   1.9589E-01
   2.4865E+00   1.9588E-01
   2.4865E+00   1.9587E-01
   2.4865E+00   1.9584E-01
   2.4866E+00   1.9580E-01
   2.4866E+00   1.9577E-01
   2.4867E+00   1.9573E-01
   2.4869E+00   1.9572E-01
   2.4873E+00   1.9572E-01
   2.4878E+00   1.9572E-01
   2.4888E+00   1.9572E-01
   2.4888E+00   1.9574E-01
   2.4888E+00   1.9574E-01
   2.4888E+00   1.9573E-01
   2.4888E+00   1.9573E-01
   2.4889E+00   1.9573E-01
   2.4889E+00   1.9573E-01
   2.4889E+00   1.9572E-01
   2.4889E+00   1.9571E-01
   2.4889E+00   1.9570E-01
   2.4889E+00   1.9567E-01
   2.4889E+00   1.9562E-01
   2.4890E+00   1.9556E-01
   2.4892E+00   1.9549E-01
   2.4894E+00   1.9546E-01
   2.4898E+00   1.9544E-01
   2.4901E+00   1.9545E-01
   2.4906E+00   1.9545E-01
